comment,evaluation
不错，老师讲的很好,good
不点名每节课都有作业不过是最后一起交的那种。最后要做一个应用，使用Matlab解决本专业的问题，这个没点本事还真搞不出来,bad
额其实有点照本宣科，有点小枯燥，但老师非常认真,medium
期末大作业很简单，就是照抄一个程序，老师讲的很认真，不过不认真听也没事，90+,good
期末要交大作业与日常作业,bad
建议旁听不建议选，没有基础跟不上。评分两次考勤，一次作业，一次期末论文,medium
给分可以，老师讲课照本宣科···,medium
老师很好,medium
没有基础且没有想学好的心的同学建议不要选，Matlab倒是非常适合学习下,medium
老师给分有点差,bad
老师有点意思，课上人比较多，夏天有点热。和计算机有关。不难。,medium
讲的还是挺实用的，能学到很多东西，最后是论文方式，还要提交一份作品,medium
确实不错，最后交论文，选交作品。我做了一个十来秒的动画。最后91分,good
最后有个论文和大作业，几个老师一起开的课，给分也不错,good
比较浅显，平时轻松，期末简单,good
期末有一篇论文，然后剪辑视频或者p图选做，给分还行,medium
期末论文加一个作品，很简单。学过一点ps或者pr的可以去拿高分，论文乱写的，交了一个3分多钟的混剪，神奇90+了,medium
有时点名，给分还行，期末一篇论文，作品自由选择交或者不交，85+，感觉一般,medium
教的东西都是关于多媒体的，很实用，不点名，交作业和论文，给分很好,good
期末论文和自选作业，从不点名，课上会教干货，给分非常好，强推！,good
微助教答题签到，每节课都签到，还会设陷阱防止有人隔空答题，但是老师上课很用心，是门好课,good
每节课都有小测，但是相比水课而言比较有内容，学到了很多。而且没有作业，一切问题课上解决。强烈推荐。,good
没有点名，有平时作业。最后交一篇小论文。课程内容挺有意思，老师讲的挺充实。,good
根本不点名！！！！老师人也很好，期末会有一个论文如果想水完全好水，，均分八十几分,medium
老师讲的很好，平时有小作业，期末论文一篇，就是高分不多,good
每次作业都写了，最后85，我觉得给分不好,medium
每次作业都写90+,medium
作业，三次作业，期末作业...给分85+,medium
论文，给分一般，讲的还行,medium
不知道为什么分这么低。。,medium
平时四次作业但只要交三次（都交分会高一点吧），期末交与本专业相关的一篇论文，感觉还可以。,medium
考核是一篇论文，给分一般，会有好几次小作业。,medium
老师蛮能侃，经常放视频，比较轻松，最后开卷。但是不知道为啥最后只得了83。。。,good
后半节课看科普片。考试开卷。,medium
老师挺能吹的，蛮有意思，最后开卷，很简单，松松90+,good
不错，老师讲的很好,good
不点名每节课都有作业不过是最后一起交的那种。最后要做一个应用，使用Matlab解决本专业的问题，这个没点本事还真搞不出来,bad
额其实有点照本宣科，有点小枯燥，但老师非常认真,medium
期末大作业很简单，就是照抄一个程序，老师讲的很认真，不过不认真听也没事，90+,good
期末要交大作业与日常作业,bad
建议旁听不建议选，没有基础跟不上。评分两次考勤，一次作业，一次期末论文,medium
给分可以，老师讲课照本宣科···,medium
老师很好,medium
没有基础且没有想学好的心的同学建议不要选，Matlab倒是非常适合学习下,medium
老师给分有点差,bad
前年选的，期末是论文,good
老师特别幽默特别幽默特别幽默！！！课堂绝对有趣！点三次名，没有作业，期末交一篇论文。只要认真对待，纯文科生也能上90.。能学到很多关于信息技术的实在知识。,good
讲课都是干货，期末交论文，挂科难，但是高分也挺难,good
有两次点名，不提前通知。期末交一篇论文,medium
中间会有几次签到作为平时成绩。老师讲的内容也大多是光纤方面的简单介绍，可能会听不太懂。期末交论文，拿了90+，，冷门但是分高,medium
有点难听懂，老师讲课还是不错的,medium
给分良心,good
老师讲课很不错，考核就是期末一篇论文，从不点名，好行就是给分不是很高,good
一篇论文,medium
一篇论文，基本所有人都90+,medium
期末一篇论文，轻松90+，平时无压力,medium
期末一篇论文，讲的超级好！,good
从不点名，期末交论文90+，超良心,medium
论文，给分好,bad
从不点名，知识面比较广，不太好懂,medium
完全不点名，就是内容有点难懂，一篇论文，给分很好,medium
一篇论文，90+,good
完全不点名！课上涉及知识还是有点艰涩的。。。结课是交一篇论文，据说这门课90%+的人能拿到90+（包括我）（虽然不想承认但这的确是门水课hhh）,good
老师蛮能侃，经常放视频，比较轻松，最后开卷。但是不知道为啥最后只得了83。。。,good
后半节课看科普片。考试开卷。,medium
老师挺能吹的，蛮有意思，最后开卷，很简单，松松90+,good
期末论文，给分还行，总之我被卡绩了，认识的四个朋友都卡绩了……,medium
论文，不过题目很宽泛，拿高分难,medium
考核比较麻烦，但给分很好,medium
老师讲得很好。期末自选presentation，老师夸我讲得很好，让他非常激动，然后期末论文给了79分。。。可能是老师带的研究生判的期末论文吧。。。,good
老师讲得挺投入的，平时没有点名，期末交一篇论文，最后一节课有展示（选做），做了加分,medium
小组展示（选做）+论文，不会点名，给分还行,medium
老师很好玩，讲课非常有激情，没有平时作业，期末是一次小组展示+论文，没有展示只有论文也可以，给分90+,good
期末论文，无平时作业,good
还行，,good
日常听老师吹水...,medium
事实上没听过课，还翘过一次貌似？最后交论文，评分标准不是特别懂，但是给分还可以吧,medium
很不错,good
经常点名，老师说话声音有点小，考核是一次小组展示、一次比较简单的论文，给分很好,medium
就是期末讲一个PPT我觉得海星,medium
课程感觉有点枯燥，，，最后一次小组展示，然后一篇论文，给分高,medium
很好,medium
偶尔点名，内容轻松，一份课堂展示，期末一份论文，给分高！,good
平时没有作业，一次课堂小组展示，一次论文,medium
感觉到各行如隔山，，但是小组展示认真准备给分很高,medium
老师人好，给分也好！,medium
小组展示做得好的话，期末90+没问题！老师给分很好！,good
老师超好，期末论文认真点,bad
给分很迷。,bad
给分还可以，内容就一般般吧,medium
两篇论文，两次点名，但是完全不知道怎么打分的，认认真真写论文，只给了81，迷，慎选,bad
中期和期末各有两篇论文,medium
授课还好，给分很迷,medium
给分好，很棒,medium
是一门水学分的课…老师毫无热情，照ppt念。最后给分90+。考试开卷很简单，照着电脑上ppt抄。无点名，感觉只需要去最后一节课和考试就行了。,bad
给分高,medium
给分好,medium
平时不点名，最后考试很简单,medium
上课一般，考试无法说明平时的认真程度。整体给分可以，但是近似于随机分布，无法通过努力拿高分的样子。,medium
给分好，事情少,medium
中间会有课堂随堂测验，都很简单，只是当作点名的方式，期末开卷考试，都是ppt上的内容，只是最后卡绩了，无奈。。。,medium
好,good
中间有一次课堂题目代替点名，节课开卷考试,medium
几乎每节课都要交心理测试结果，和点名差不多~,good
老师特别温柔，给分好。会有几次小组任务当做签到。期末一篇自选题材的文章，要求写关于自己的内容，3000字左右。,good
老师好温柔，声音好听,good
老师很温柔，上课形式多样。学会了正念，上课还会通过画画来分析人格等等。期末一篇论文，写‘’我‘’,good
我很喜欢的美女老师，给分很棒,good
老师很用心，上课也比较有趣。期末是论文，不能网上找，自己写的分数很高。,medium
老师很温柔，期末自我分析。,medium
超棒的一门课，喜欢心理类的不能错过！,good
考核就是一些小作业很简单的，老师人特别好，课程有趣~,good
老师人挺好的，内容准备也充分，但是不是我想听到的心理学知识或者心理健康知识。很多东西没什么价值，到处都能看到。想学内容的不建议选。，期末小论文写自述，给分很高。,medium
给分还不错。,bad
水课必选。从不点名，但是上课其实也还行。期末一千字小论文。给分很好。,medium
这个老师讲课非常无聊，打着讲视觉艺术的名号介绍风水，对西方艺术有极大偏见，期末考试是要赏析他自己的画，还鼓励学生靠把赏析他画作的文章放到网站上来加分，总之就是不要选！！！,bad
水～,medium
粁论文,good
不点名，上课还好，考试论文无压力，给分很好,medium
会讲各种美的东西，很有趣,good
不点名，期末交论文，给分90+,medium
论文考核，上课就欣赏电影以及瓷器？？电影有意思的。平均给分较高，但我的不高,medium
其实是基础美术审美欣赏课，看了很多电影，其实讲得还可以，最后作业，轻松90+,medium
呜呜呜好可爱的老师，给分很好，偶尔点名,good
用小问题当点名测试，一次展示，最后闭卷，给分还可以90+,medium
推荐，老师讲的很有趣，学到了不少传统文化知识。期末闭关考试。,good
给分85+吧，三次简单的课堂小测变相点名。还有一次小组展示，比较有趣。课堂内容偶有纰漏，感觉并不是非常专业。,medium
一次分组pre，两次随堂测验（突击），期末闭卷,medium
给分差，随堂问题当点名，期末闭卷,bad
老师很认真，会经常请同学或者学长来分享，期末闭卷考,good
老师非常敬业，最后闭卷，稍作准备，认真作答就可以得高分！～,good
吴老师非常非常用心，课程内容非常有用。会请同学们分享，分享内容也非常好，有趣又有用。平时会有偶尔点名。最后闭卷考试，最后一节课划重点，背一下很简单就可以答得很好。十分推荐！,good
坑,bad
上课还行就是卡绩,medium
老师上课讲话的语速是真的快，小组展示和期末论文，不是很难,medium
老师讲课很有意思,good
会有一次分小组案例展示，三四次点名，期末一篇论文,medium
考核要做小组展示加上结课论文，老师讲课语速很快，思维很灵活，讲的很清楚，特别是最后讲道德论的部分解释得很清楚，点名很勤,good
老师语速很快》。。,bad
大概有一半时间是要点名的，而且很恶心的是第三节课才点。有小组作业中期PPT展示，结课考试开卷,medium
好像不怎么点名，我基本没怎么去。最后交两篇论文，论文的要求不低，要求介绍画家或者某幅/某类作品，资料不怎么好找。我论文花了不少时间写，最后90分,good
老师人很好，讲课很有意思，偶尔点名但占比很小，最后两篇3000字论文，认真对待给分不会少,good
emmmm，最后考核有两篇论文，难度还是比较大的，不过考虑到分数还OK，老师也不care考勤的话，还是可以的吧,medium
考核是两篇论文（中国作家、外国作家）无点名，论文有点要求，要认真写。老师人很好，用的表情包很诡异,medium
有两到三次签到，一篇任意体裁的文章结课，老师讲得很不错跟着听听能学到东西的,bad
三十分平时分，其中二十基础分，之后来一次加一分，加满十分为止，不来不扣分，另外七十是考试分，考试就两张纸，两道题，而且都是二选一，主要是论述，允许带手机，带书，不允许讨论。然后老师语速很快，方言味很浓。只认真听了一节课，接着之后所有的课都放弃了，最后80。没有点名，除了签到，没有提问，完全可以做自己的事。,medium
能学到不少东西，老师人挺好的，上机会每节课留作业，上交到网站，当周没做完也可以下周前交,medium
老师很好，有问题尽管问她。然后作业有的挺难的,medium
不点名，老师人很好，但这门课需要下功夫，给分还不错,medium
啊。。。基本就是。。。交作业最后考个试。。。网上会公布，所以其实不去只要考了试也没事,medium
讲的很好，给分高~,good
我觉得这个课超级棒，采用多个教师授课，每个老师都有自己的风格。考核以论文的方式进行，九十加不是问题,medium
老师人很好，讲课一般，不点名，有平时作业，期末为答题+设计程序，给分90+,medium
送分课,medium
节假日点名，两到三次课有一次上机作业，还是能学到一点东西的。期末开卷考试，90,medium
节假日前的课点名，平时有作业，最后考试，讲真这个靠自学，,bad
老师讲的很好，如果对这方面感兴趣的同学可以考虑选这门课！中间有一次展示，争取做上去讲的人我觉得最后给分会很好。平时不点名，结课是对自己一周的饮食做一个记录并按照上课内容做一个相应的反馈报告~,good
课堂有几次签到，一次小组展示，一次记录自己一周饮食并改善的计划。还不错,medium
老师人很好，点到要求严格，有一次插花，一次pre和实践，给分还不错,good
给分超级好,bad
课堂展示、小组活动、插花比赛、期末论文较多，任务较为繁重，但是老师比较温柔，课程内容也比较有趣。,medium
考核比较简单，期末论文,good
就上课常常放一个外国人的视频,medium
给分很好，会有比较多事情,good
逢课必点名，但是给分不错,medium
会点名，有小组作业，但是给分比较好,medium
挺好的,good
老师很温柔，有插花比赛和实地调研，挺有意思的，给分好,medium
老师讲的很好，只是会每节课点名，考试开卷，给你一星期自己写一份卷子，给分还好,medium
卡绩,medium
老师讲课很有意思，给分也很好,good
考核提前一周发试题，自己带回去做，签到的话会有四次纸质表格签到，一次十分，但是很多人找代签,medium
自己不努力，分数贼低，怪自己，老师上课画的图和在黑板上写的东西好好记，最后开卷考试用得到,bad
每节课签到，期末布置几道题自己回去写,medium
不要漏签，血的教训,medium
最后交期末试卷，老师会提前发题目，,medium
有四次签到，少一次扣10分，期末开卷，卷子拿回去写，老师倒是很有激情,medium
给分不错,medium
讲的很有意思，随机点名，期末论文一定要自己写，给分很好,good
给分超好，课也很好,good
一次小组展示，期末论文,good
随机点名，期末交论文,medium
几次点名，期末论文,good
好,medium
给分真的很好，但是讲的可能一般,good
小组展示，论文，给分好,medium
三次随机点名，期末论文，最后90+,medium
老师太认真了,medium
讲课还不错，考试是平时小测取3次最高，最后有一篇论文，形式不一定,good
每堂课结束之后有小测，形式不一，整个学期下来大概是取最高3次考试成绩的平均成绩，意味着至少要参加3次考试才行。最后还要做一个问卷调查并写报告，不难，比写论文简单很多。稍微认真一点90+,medium
平时会有随堂作业，比如当面背书之类的，都还比较简单，最后交一篇论文或者考试，老师讲的还行，给分看平时随堂作业和最后的论文或者考试~,medium
难以形容。。。,bad
挺好的老师的文学素养很高,good
没有考试，调查报告,medium
平时会布置课堂作业，没有签到，考核是写读书报告。说好的只要认真写就不会给低分，结果还是给了个60+.不打算每节课都去的同学慎选,medium
上课完成课堂作业，，，算是点名吧，，，。课堂时有趣时无聊，，最后有一个调查报告写，给分很好,medium
考核方式是平时作业，结课论文。但是老师讲课特别棒，强力推荐。只要课堂上布置的作业完成了给分就不低。并且不是每堂课都有作业。我翘了两三次课不过作业都完成了，还得了90。,good
。。讲得其实蛮好。。就是作业多。。给分也一般般，很少90的。。,medium
期末考试还是很有难度的。,medium
5次点名，一次10分,bad
老师人很好，但是还是要有韩语基础或者热爱韩语想要学习韩语的去学吧,good
大学最喜欢的一门选修课，老师讲课很有意思，平时偶尔点名，点名一次十分，期末考试闭卷，不算难，要么认真学要么抱大腿。95分,good
老师讲课很有意思，会讲一些她在韩国的见闻。但期末考试有难度。然后有安排和韩国留学生交流。,good
无压力，5次签到占50分，期末50分,good
老师人很好，给分也很好,good
喜欢韩语的人，推荐上；没兴趣的话很痛苦,good
一共五次点名，期末闭卷考试。老师讲的很好，但是东西要复习，不复习都忘了，我现在都不记得元音辅音怎么念了,good
讲的很好，期末出了好多选择题，就是我对韩语不开窍~~有助攻90+,medium
平常讲课不点名，期末有论文2个小作业1个，给分有点迷,good
上课内容还挺实用，期末卷子带回去做，但是给分很谜,medium
最后给几道题拿回去写作为期末大作业，难度不大，上课差不多听过一些就可以,medium
97分,good
最后有给课后完成的大作业，包括找一些视频和一些选择题，难度不大，用处很大。不点名，如花老师超可爱,medium
期末有份作业，给分有点低,medium
最后试卷带回去做，参考课上学习的知识，不懂为什么最后给分略低，可能没回答到点上。,bad
平时不点名，黄老师讲课很好，课如其名，后面另一个老师就讲得一般了。最后考核是做试卷，题目有一小部分慕课内容以及课程应用，给分90+,good
期末就是带卷子回去做，还是挺简单的,medium
黄老师讲得很好，后面图书馆员就有点水了。最后是做试卷，题目关于检索和课程内容，给分佳。,medium
平时无点名，期末用上课讲的东西搜索一些她给的任务.不难，给分90+,medium
期末闭卷考试，但是其实到最后大家都在用手机，给分还行吧,good
感觉还好,medium
666,medium
会以回答问题的方式变相点名一次，上课就是讲些案例,medium
平时交作业当考勤，期末开卷,good
老师讲的生动有趣，，不难，，期末开卷考试，，90+很多,good
只上了三次课，每一节当堂一点小作业当点名，给分好,good
不点名，最后开卷考试，记几个上课讲过的内容就可以了，给分很高,good
讲得还可以，会放很多视频举很多案例，然后当堂写感想或者案例分析，最后有一个调查报告，其实就是一份很长的问卷，但需要认真完成,medium
老师讲的课很有趣，能够拓展思路。一共三周的课，注意周一和周三晚上都有课。考试开卷，而且会提前告诉考试题目。上课偶尔有课堂小作业，算点名吧。,good
偶尔交张纸，期末当堂带资料写论文就完事,medium
交论文，有随堂作业，点过一次名，给分还行,good
手写论文，随堂作业，给分还行,medium
那么多人的课居然点过一次名，有课堂作业，最后交一篇论文，,bad
隔周小作业，，我没逃过课，考试去按要求写论文，提前准备，给分85，,medium
有随堂小作业，期末论文提前给题,medium
考试基本会随堂考试，不点名，后期提前两周布置论文题目，感觉照着PPT编一编就过了，90+还行,medium
上课不点名，但是有的时候下课前有小作业，主要是上课讲过的内容。期末写一篇论文，会提前告知题目，然后当堂写。,medium
随堂有几次作业，最后考核是最后一节课当堂写论文，会提前说明题目让准备材料。,medium
给分太好了，期末一篇论文，感恩的心,good
期末论文，不点名。可以学到东西。不听课期末85+,good
有两三次点名，最后一篇论文，给分不错但课有点无聊,medium
给分不错，第三周点名，最后交论文,medium
老师挺好,medium
老师给分挺一般，不过没有考试，交篇论文就OK，平时上课还挺有意思（虽然听得不多）,medium
论文结课，老师给分很不错~,medium
老师讲的蛮有意思，偶尔还是点名的，期末写论文，要求不高，轻松90+,good
期末交论文，我是77,medium
基本没点到期末论文，，上课内容不是我感兴趣的话题，给分超级棒,medium
开卷考试，题目比较多,medium
课程还不错，期末开卷，给分好,medium
三次签到一次课堂答题，最好每节课都去，完成慕课,good
点过几次名，最后一堂课用微助教做题，课下要做慕课,medium
还不错，基本上网上作业，网上点名，网上考试，最后很轻松了~,medium
给分很好，不需要写论文，有几次课上作业，期末只是线上考试。,medium
上课会用雨课堂答题和点名，逃不掉的。,medium
老师给分挺好的！,medium
偶尔签到，论文结课，给分高,medium
偶尔点点，期末论文，水,medium
水课,medium
老师讲得挺好，94分，上课随堂作业，听课的话就是刚刚讲完的，贼简单,good
考核是论文，非常强调创新，如果不是真的喜欢建议不要选,medium
3次签到，可以学东西，高分就算了,good
有用的课，但是我有点害怕（讳疾忌医）,medium
运气好的话，老师只是让你写paper，但是我们当时是考试,good
结课交3千字论文，上课前半个小时和最后半小时静坐冥想按摩,good
老师人很好，给分也很好,medium
好,medium
老师很好，给分不错，事情有点多,medium
我上的时候挺好的，偶尔点名，考核一篇小论文或者背黄帝内经的一两篇吧。不过我朋友今年上是助教给讲的课，最后好像挺难熬的,good
给分很好,medium
考核方式：1、写心得，手写；2、小组讨论+课外阅读；3、背《黄帝内经》（好像是第一/二篇）三选一即可上课老师会教一些养生知识，还会教一点基础的太极动作，最后有次课是吃老师自己做的全麦面包以及和茶，最后分数90+,good
接受不了老师讲的一些伪科学，如果不是看在老师给冯的情况下早就撤课了！老师人还是不错的，教的内容就不敢恭维了。不建议大家选这个课，当然，想混个学费就选咯，我反正后悔花这100大洋了,medium
老师人超好～,good
不点名，给分高，两次作业都是选择题发老师邮箱，期末交论文,medium
老师上课很有意思，课程压力不大，期末考核是一篇和水有关的论文，给分很好~,good
不点名，期末论文，90+,medium
课程性质本身决定的这门课比较无聊，奈何老师人好，不点名，期末论文，轻松90+,medium
不点名，给分高，两次作业，期末交一篇论文，,bad
不点名，给分高，有两次作业，期末交论文，老师人还很好,medium
课其实很好玩，但是老师不点名以至于没什么人去...最后一篇论文自由选题，90+,medium
作业和一篇与专业有关的论文,medium
非常棒，两次作业+论文,medium
不点名，几次作业，网上可以搜到答案，期末论文，给分90+,medium
给分好，上课轻松,good
有一次随堂测，看视频答题，去迟了还是比较影响成绩的。期末开卷，只要提前熟悉PPT就基本没问题。,good
老师很有意思～有一次作业，期末开卷，给分好,good
给分好,medium
给分好，90+,medium
没有任何压力，考试开卷带电脑，最后没交小作业也有90+，考勤可能是最后一节课或者某个放假之前,medium
额额额我是倒霉吧，考勤满的，开卷也没太差，最后79？？？？？,medium
期末有个小考试，交一篇论文可以加分，殿民真的毫无压力，老师讲的也很好,good
开卷考试，比较容易，平时最好发言认真听讲,medium
给分高！,medium
。。不想说话,bad
老师很好,medium
考试很简单，提前一周发试卷，答案在ppt中基本都能找到,medium
给分一般，期末交报告,bad
点名点五次还是三次来着,good
点名比较多，期末考试，卷子提前发，但是我的最终成绩不怎么样,medium
偶尔点名，考试提前发卷子,medium
点名比较多，老师讲课也比较偏专业化,good
考试直接给题回去查，老师人特别好，有四次考勤我三次没到都得了87。。。,medium
期末试卷带回去做，给分高,medium
课程安排能在一定程度上了解自己，幸运的话能认识不错的朋友,good
不知道为什么我和另一个人的给分都很糟糕。我几乎每节课都发言。,medium
每节课都有小组讨论，最后给分也不错，平时课堂内容也很有用,medium
好课，给分高，有趣,good
小组讨论，组员互评形式给平时分，最后交论文，给分很好，课堂也比较有趣,good
很好的课，有小组活动，给分很好,good
上课轻松，给分高,good
小组合作，每节课写一两句话小心得，几乎都在玩游戏，游戏中面对不同情况，进行反思,good
给分很高,good
挺好的，给分高，期末论文,good
老师很好吧，给分也很好，然后实践当然能熟悉一下单反，大一大二选选玩玩挺好的。唯一缺点是讲课内容繁多时会有一些无聊。,medium
给分很好,good
讲了一些摄影原理和技巧，有三次实习作业，最后发了一份试卷回去写。个人摄影基础不怎么样，但完成作业很认真，95+,good
非常好的课，实践很多,good
信部的同学上课超方便，上课的内容好无聊啊，我试图认真听了……实习三次，很有趣的，但是算在上课的课时之外，有时间的同学选就是了，万一呢，我也是最后一刻选上的,good
上课我没听(个人原因)_(:з」∠)_实习很好玩！给分很给力！,medium
最后一次课堂授课的时候会点名。不过虽然我没赶上也有90+就是了……老师讲课的时候很有激情，前（大约7周）讲课，后面4-5周实习，每次实习都有小作业。不过实习除了最后一次个人认为基本可以不去……,medium
很有意思的课，中间有摄影实习还可以进暗房自己洗照片，考核就是每次交的摄影照片，给分很高基本90+,good
最强推的选修课。有意思，能学到东西，给分好。除上课外会有拍照实习，每次交相关照片。会安排一次洗照片，特别好玩。最后交作业+做一个ppt发给老师。90+,good
给分高，还可以学到很多知识,good
老师讲的挺好的，一学期就点了一次名，刚好没去，期末手写论文。85+,medium
期末交一篇跟课程没啥关系的论文，然后一学期中途有一次签到，没去的话分数会低一些,medium
上课大半时间胡扯，点了两次名，一次没到80+,bad
老师上课吹水时间占了绝大部分时间，我是觉得挺无聊的，但是给分很高，期末是写一篇几千字的论文,medium
老师很好，最后手写一个几千字的作业,good
上课超好玩（跟课程题无关～喵开玩笑的、上了就知道，大概是生动示范了史为今鉴，不过我还是挺爱听老师瞎扯的，以及好奇历史学院的老师都这么逗吗），不过老师有那么一点点爱拖课（嗯不止一点点）、寝室有点远（比如信部）妹子一个人回去还是有点害怕的，最后找个人一起上（我几次都是跑回去的～喵）给分取决于点名（他貌似、都是凭感觉点名的、或者感觉大概是一些大家容易翘课的时候比如放长假前夕点名，我这学期的人品惨到所有翘的课都碰上点名了，嗯hhhh，毫无余地的80+），尽管觉得自己期末的手写论文诚恳而中二,good
三次点名，期末一篇论文，只要上课都到给分很高，我95+,medium
老师讲课非常有趣，听听很受益...不过这样真的不会被查水表吗……会点名，而且千万别被抓到没去，不然分数会比较低了。结课一篇作文，自己写，很容易90+吧，看到99的时候灰常激动呀,good
论文结课没有考试很容易高分,medium
有几次作业，有点难度，期末考试,medium
讲课内容很丰富，学过才会有受益匪浅的感觉。不是水课，上课老师会叫人回答问题；节节手工签到，期末会有关于授课内容的选择填空简答计算的开卷考试…认真一些稳过吧，93,good
每节课签到，考试开卷但是还是要弄懂，难度不会很大但也不是特别容易就水过去,medium
签到可以代签，考试开卷，有几次作业，难度中上,good
认真听课就行，开卷,medium
期末考试，上课签到，开卷，挺简单的，略微枯燥,medium
会有几次小作业，期末开卷考试，好好听课做作业90+应该没问题,medium
666,medium
课余时间不是很充裕的建议不要选,medium
期中一篇读书笔记，期末一篇论文，给分一般，没上90,medium
没有点名，期末交论文或者读后感,medium
一篇读书笔记+读书笔记or论文，给分好，90+,medium
老师特别好，给分也不错,good
老师很有文人风骨，脾气超好不点名，中间交一篇读书笔记，最后期末一篇文体不限，字数要求不是很高，认真写给分就很好。虽然没怎么认真听过课，但炒鸡喜欢老师了~,medium
一篇读书笔记，一篇文体不限，给分还可以。老师超级负责,good
89分实名哭泣,good
两篇读书笔记，给分不错，从不查勤。,good
两篇读书笔记，给分还行,medium
老师讲课很棒，没有点过名，考核是一篇论文没有考试，给分超级好！,good
下课要花些时间弄懂老师讲的，要好好写作业。,medium
